"playername","playername2","Sackmann_playername","Sackmann_id"
"Dailey Z.","dailey z","Zach Dailey","103878"
"Damm M.","damm m","Martin Damm","102093"
"Dancevic F.","dancevic f","Frank Dancevic","104433"
"Daniel M.","daniel m","Marcos Daniel","103228"
"Daniel T.","daniel t","Taro Daniel","106121"
"Darcis S.","darcis s","Steve Darcis","104327"
"Dasnieres de Veigy J.","dasnieres de veigy j","Jonathan Dasnieres De Veigy","104850"
"Davletshin V.","davletshin v","Vadim Davletshin","104439"
"Davydenko N.","davydenko n","Nikolay Davydenko","103786"
"Davydenko N. ","davydenko n","Nikolay Davydenko","103786"
"Davydenko P.","davydenko p","Philip Davydenko","106053"
"De Bakker T.","de bakker t","Thiemo De Bakker","105217"
"de Chaunac S.","de chaunac s","Sebastien De Chaunac","103063"
"De Chaunac S.","de chaunac s","Sebastien De Chaunac","103063"
"De Greef A.","de greef a","Arthur De Greef","105963"
"De Heart R.","deheart r","Ryler Deheart","104281"
"De Loore J.","de loore j","Joris De Loore","106167"
"De Paula F.","de paula f","Fabiano De Paula","105245"
"De Schepper K.","de schepper k","Kenny De Schepper","104932"
"de Voest R.","de voest r","Rik De Voest","103573"
"De Voest R.","de voest r","Rik De Voest","103573"
"Decoud S.","decoud s","Sebastian Decoud","103850"
"Deen Heshaam A.","deen heshaam a","Ariez Elyaas Deen Heshaam","106277"
"Deheart R.","deheart r","Ryler Deheart","104281"
"Del Bonis F.","delbonis f","Federico Delbonis","105643"
"Del Potro J.","del potro j","Juan Martin Del Potro","105223"
"Del Potro J.M.","del potro j","Juan Martin Del Potro","105223"
"Delbonis F.","delbonis f","Federico Delbonis","105643"
"Delfino M.","delfino m","Mariano Delfino","103052"
"Delgado J.","delgado j","Jamie Delgado","102965"
"Delgado R.","delgado r","Ramon Delgado","102887"
"Delic A.","delic a","Amer Delic","104025"
"Delic M.","delic m","Mate Delic","106243"
"Dell'Acqua M.","dellacqua m","Massimo Dellacqua","103435"
"Demoliner M.","demoliner m","Marcelo Demoliner","105269"
"Dent T.","dent t","Taylor Dent","103758"
"Derepasko A.","derepasko a","Artem Derepasko","103497"
"Desein N.","desein n","Niels Desein","104944"
"Dev Varman S.","devvarman s","Somdev Devvarman","104500"
"Devilder N.","devilder n","Nicolas Devilder","103534"
"Devvarman S.","devvarman s","Somdev Devvarman","104500"
"Dewulf F.","dewulf f","Filip Dewulf","102029"
"di Mauro A.","di mauro a","Alessio Di Mauro","103035"
"Di Mauro A.","di mauro a","Alessio Di Mauro","103035"
"di Pasquale A.","di pasquale a","Arnaud Di Pasquale","103324"
"Di Pasquale A.","di pasquale a","Arnaud Di Pasquale","103324"
"Diaz J.","diaz j","Jacobo Diaz","102831"
"Diez S.","diez s","Steven Diez","105731"
"Dimitrov G.","dimitrov g","Grigor Dimitrov","105777"
"Djere L.","djere l","Laslo Djere","111513"
"Djokovic M.","djokovic m","Marko Djokovic","105831"
"Djokovic N.","djokovic n","Novak Djokovic","104925"
"Djokovic N. ","djokovic n","Novak Djokovic","104925"
"Dlouhy L.","dlouhy l","Lukas Dlouhy","104160"
"Do M.Q.","do m q","Minh Quan Do","104283"
"Dodig I.","dodig i","Ivan Dodig","104471"
"Dolgopolov A.","dolgopolov a","Alexandr Dolgopolov","105238"
"Dolgopolov O.","dolgopolov o","Alexandr Dolgopolov","105238"
"Donaldson J.","donaldson j","Jared Donaldson","111577"
"Donati M.","donati m","Matteo Donati","106390"
"Donskoy E.","donskoy e","Evgeny Donskoy","105539"
"Dorsch B.","dorsch b","Benedikt Dorsch","103684"
"Dosedel S.","dosedel s","Slava Dosedel","101792"
"Draper S.","draper s","Scott Draper","102401"
"Dreekmann H.","dreekmann h","Hendrik Dreekmann","102521"
"Duckworth J.","duckworth j","James Duckworth","105902"
"Duclos P.L.","duclos p l","Pierre Ludovic Duclos","104661"
"Dupre T.","dupre t","Thomas Dupre","102406"
"Dupuis A.","dupuis a","Antony Dupuis","102179"
"Durek R.","durek r","Raphael Durek","104295"
"Dustov F.","dustov f","Farrukh Dustov","104736"
"Dutra Silva R.","dutra silva r","Rogerio Dutra Silva","104297"
"Dzumhur D.","dzumhur d","Damir Dzumhur","106000"
"Eagle J.","eagle j","Joshua Eagle","102215"
"Eaton C.","eaton c","Chris Eaton","105052"
"Ebden M.","ebden m","Matthew Ebden","105051"
"Ebelthite C.","ebelthite c","Colin Ebelthite","104456"
"Echagaray B.","echagaray b","Bruno Echagaray","104179"
"Economidis K.","economidis k","Konstantinos Economidis","103077"
"Edmund K.","edmund k","Kyle Edmund","106378"
"Ehrat S.","ehrat s","Sandro Ehrat","105757"
"Eitzinger R.","eitzinger r","Rainer Eitzinger","104209"
"El Aarej M.","el aarej m","Mounir El Aarej","103007"
"El Amrani R.","el amrani r","Reda El Amrani","105149"
"El Aynaoui Y.","el aynaoui y","Younes El Aynaoui","101962"
"Eleskovic E.","eleskovic e","Ervin Eleskovic","104914"
"Elgin M.","elgin m","Michail Elgin","103862"
"Elgin M.","elgin m","Mikhail Elgin","103863"
"Elias G.","elias g","Gastao Elias","105671"
"Ellwood B.","ellwood b","Ben Ellwood","102743"
"Elseneer G.","elseneer g","Gilles Elseneer","103153"
