"playername","playername2","Sackmann_playername","Sackmann_id"
"Reyes-Varela M.A.","reyes varela m a","Miguel Angel Reyes Varela","104960"
"Reynolds B.","reynolds b","Bobby Reynolds","104035"
"Riba-Madrid P.","riba p","Pere Riba","105137"
"Riba P.","riba p","Pere Riba","105137"
"Rieschick S.","rieschick s","Sebastian Rieschick","104681"
"Rios F.","rios f","Felipe Rios","105941"
"Rios M.","rios m","Marcelo Rios","102701"
"Robert S.","robert s","Stephane Robert","103565"
"Robredo R.","robredo r","Tommy Robredo","103990"
"Robredo T.","robredo t","Tommy Robredo","103990"
"Robredo T. ","robredo t","Tommy Robredo","103990"
"Rocha D.","rocha d","Diogo Rocha","104383"
"Rochus C.","rochus c","Christophe Rochus","103294"
"Rochus C. ","rochus c","Christophe Rochus","103294"
"Rochus O.","rochus o","Olivier Rochus","103694"
"Rochus O. ","rochus o","Olivier Rochus","103694"
"Roddick A.","roddick a","Andy Roddick","104053"
"Rodrigues M.","rodrigues m","Mathieu Rodrigues","104633"
"Rodriguez B.","rodriguez b","Bruno Rodriguez","104823"
"Rodriguez M.","rodriguez m","Martin Rodriguez","101675"
"Roger-Vasselin E.","roger vasselin e","Edouard Roger Vasselin","104273"
"Roitman S.","roitman s","Sergio Roitman","103373"
"Rola B.","rola b","Blaz Rola","105641"
"Romboli F.","romboli f","Fernando Romboli","105262"
"Rosenholm P.","rosenholm p","Patrik Rosenholm","105113"
"Roshardt R.","roshardt r","Robin Roshardt","105104"
"Rosol L.","rosol l","Lukas Rosol","104586"
"Rosset M.","rosset m","Marc Rosset","101820"
"Roux L.","roux l","Lionel Roux","102201"
"Rubin N.","rubin n","Noah Rubin","111511"
"Rublev A.","rublev a","Andrey Rublev","126094"
"Rufin G.","rufin g","Guillaume Rufin","105558"
"Rusedski G.","rusedski g","Greg Rusedski","102257"
"Russell M.","russell m","Michael Russell","103188"
"Ruud C.","ruud c","Christian Ruud","102104"
"Ruud C.","ruud c","Casper Ruud","134770"
"Ryderstedt M.","ryderstedt m","Michael Ryderstedt","104453"
"Sa A.","sa a","Andre Sa","102987"
"Saavedra Corvalan C.","saavedra corvalan c","Cristobal Saavedra Corvalan","105601"
"Sabau R.","sabau r","Razvan Sabau","103009"
"Sabry S.","sabry s","Sherif Sabry","104789"
"Sadecky A.","sadecky a","Alexander Sadecky","104967"
"Safin M.","safin m","Marat Safin","103498"
"Safwat M.","safwat m","Mohamed Safwat","105633"
"Salamanca C.","salamanca c","Carlos Salamanca","104113"
"Salva B.","salva b","Bartolome Salva Vidal","104831"
"Salzenstein J.","salzenstein j","Jeff Salzenstein","102269"
"Samper-Montana J.","samper montana j","Jordi Samper Montana","105515"
"Sampras P.","sampras p","Pete Sampras","101948"
"Sanchez D.","sanchez d","David Sanchez","103176"
"Sanchez De Luna J.","sanchez de luna j","Jose Antonio Sanchez De Luna","104445"
"Sanchez de Luna J.A.","sanchez de luna j","Jose Antonio Sanchez De Luna","104445"
"Sanchez J.","sanchez j","Javier Sanchez","101439"
"Sandbichler A.","sandbichler a","Armin Sandbichler","104488"
"Sanguinetti D.","sanguinetti d","Davide Sanguinetti","102106"
"Santillan A.","santillan a","Akira Santillan","117361"
"Santopadre V.","santopadre v","Vincenzo Santopadre","101947"
"Santoro F.","santoro f","Fabrice Santoro","102148"
"Saoudi S.","saoudi s","Slimane Saoudi","102630"
"Saretta F.","saretta f","Flavio Saretta","103581"
"Sargsian S.","sargsian s","Sargis Sargsian","102227"
"Sarkissian A.","sarkissian a","Alexander Sarkissian","105512"
"Sarstrand M.","sarstrand m","Marcus Sarstrand","103239"
"Satral J.","satral j","Jan Satral","105596"
"Saulnier C.","saulnier c","Cyril Saulnier","102642"
"Saville L.","saville l","Luke Saville","106291"
"Savolt A.","savolt a","Attila Savolt","102722"
"Schalken S.","schalken s","Sjeng Schalken","102854"
"Scherrer J.","scherrer j","Jean Claude Scherrer","103238"
"Scherrer J.C.","scherrer j c","Jean Claude Scherrer","103238"
"Schiessling T.","schiessling t","Thomas Schiessling","102473"
"Schnur B.","schnur b","Brayden Schnur","111790"
"Scholtz N.","scholtz n","Nicolaas Scholtz","105707"
"Schoorel T.","schoorel t","Thomas Schoorel","105318"
"Schranz W.","schranz w","Wolfgang Schranz","102753"
"Schuettler R.","schuettler r","Rainer Schuettler","102783"
"Schuettler R. ","schuettler r","Rainer Schuettler","102783"
"Schukin Y.","schukin y","Yuri Schukin","103393"
"Schwank E.","schwank e","Eduardo Schwank","104724"
"Schwartzman D.","schwartzman d","Diego Sebastian Schwartzman","106043"
"Sekulic M.","sekulic m","Milos Sekulic","105427"
"Sekulov J.","sekulov j","James Sekulov","102872"
"Sela D.","sela d","Dudi Sela","104534"
"Sell M.","sell m","Michael Sell","102103"
"Seppi A.","seppi a","Andreas Seppi","104312"
"Seppi A. ","seppi a","Andreas Seppi","104312"
"Serdarusic N.","serdarusic n","Nino Serdarusic","126120"
"Sergeyev I.","sergeyev i","Ivan Sergeyev","105079"
"Serra F.","serra f","Florent Serra","103722"
"Serra F. ","serra f","Florent Serra","103722"
"Serrano O.","serrano o","Oscar Serrano","103202"
"Setkic A.","setkic a","Aldin Setkic","105060"
"Settergren J.","settergren j","Johan Settergren","103178"
"Shane R.","shane r","Ryan Shane","126152"
"Shapovalov D.","shapovalov d","Denis Shapovalov","133430"
"Sherwood D.","sherwood d","David Sherwood","103559"
"Shimada T.","shimada t","Thomas Shimada","102529"
"Shvec A.","shvec a","Alexander Shvec","102077"
"Shyla Y.","shyla y","Yaraslau Shyla","106138"
"Si Y.M.","si y m","Yew Ming Si","103427"
"Sidorenko A.","sidorenko a","Alexandre Sidorenko","105098"
"Siemerink J.","siemerink j","Jan Siemerink","101733"
"Sijsling I.","sijsling i","Igor Sijsling","104997"
"Silva D.","silva d","Daniel Dutra Da Silva","105180"
"Silva F.","silva f","Frederico Ferreira Silva","106393"
"Silva J.","silva j","Julio Silva","103395"
"Simmonds P.","simmonds p","Phillip Simmonds","104732"
"Simon G.","simon g","Gilles Simon","104468"
"Simon G. ","simon g","Gilles Simon","104468"
"Simoni A.","simoni a","Alexandre Simoni","103397"
"Simonsson F.","simonsson f","Fred Simonsson","110596"
"Singh N.","singh n","Navdeep Singh","104684"
"Singh S.","singh s","Sanam Singh","105072"
"Sirianni J.","sirianni j","Joseph Sirianni","102512"
"Siriluethaiwattana P.","siriluethaiwattana p","Peerakiat Siriluethaiwattana","105402"
"Sitak A.","sitak a","Artem Sitak","104677"
"Skoch D.","skoch d","David Skoch","102881"
"Skugor F.","skugor f","Franco Skugor","105015"
"Slabinsky A.","slabinsky a","Alexander Slabinsky","104692"
"Slanar M.","slanar m","Martin Slanar","103763"
"Sluiter R.","sluiter r","Raemon Sluiter","103171"
"Smeets R.","smeets r","Robert Smeets","104635"
"Smethurst D.","smethurst d","Daniel Smethurst","105651"
"Smit J.","smit j","Jasper Smit","103653"
"Smith A.","smith a","Austin Smith","106269"
"Smith J.P.","smith j p","John Patrick Smith","105441"
"Smith L.","smith l","Luke Smith","102875"
"Smyczek T.","smyczek t","Tim Smyczek","105065"
"Snobel P.","snobel p","Pavel Snobel","103520"
"Sock J.","sock j","Jack Sock","106058"
"Soderling R.","soderling r","Robin Soderling","104417"
"Soderlund C.","soderlund c","Carl Soderlund","144797"
"Soeda G.","soeda g","Go Soeda","104424"
"Sonego L.","sonego l","Lorenzo Sonego","132283"
"Sorensen L.","sorensen l","Louk Sorensen","104476"
"Sousa J.","sousa j","Joao Sousa","105311"
"Sousa P.","sousa p","Pedro Sousa","105155"
"Sousa T.","sousa t","Tiago Sousa","103282"
"Souza J.","souza j","Joao Souza","105154"
"Spadea V.","spadea v","Vincent Spadea","102434"
"Spottl M.","spottl m","Martin Spottl","102689"
"Spracklin T.","spracklin t","Trevor Spracklin","103097"
"Squillari F.","squillari f","Franco Squillari","102644"
"Srichaphan P.","srichaphan p","Paradorn Srichaphan","103387"
"Stadler S.","stadler s","Simon Stadler","104217"
"Stafford G.","stafford g","Grant Stafford","101917"
"Stakhovsky S.","stakhovsky s","Sergiy Stakhovsky","104660"
"Stanoytchev O.","stanoytchev o","Orlin Stanoytchev","101969"
"Starace P.","starace p","Potito Starace","103808"
"Stark J.","stark j","Jonathan Stark","101890"
"Statham J.","statham j","Jose Rubin Statham","104907"
"Statham R.","statham r","Jose Rubin Statham","104907"
"Stebe C-M.","stebe c m","Cedrik Marcel Stebe","105649"
"Stebe C.M.","stebe c m","Cedrik Marcel Stebe","105649"
"Steckley R.","steckley r","Rob Steckley","103510"
"Stepanek R.","stepanek r","Radek Stepanek","103285"
"Stepanek R. ","stepanek r","Radek Stepanek","103285"
"Stoliarov A.","stoliarov a","Andrei Stoliarov","102911"
"Stoltenberg J.","stoltenberg j","Jason Stoltenberg","101727"
"Stoppini A.","stoppini a","Andrea Stoppini","103521"
"Strode B.","strode b","Blake Strode","104971"
"Struff J-L.","struff j l","Jan Lennard Struff","105526"
"Struff J.L.","struff j l","Jan Lennard Struff","105526"
"Struvay E.","struvay e","Eduardo Struvay","105679"
"Sugita Y.","sugita y","Yuichi Sugita","105216"
"Sultan-Khalfan A.","sultan khalfan a","Sultan Khalfan","102956"
"Summerer T.","summerer t","Tobias Summerer","104121"
"Sun P.","sun p","Peng Sun","104261"
"Suzuki T.","suzuki t","Takao Suzuki","102863"
"Svarc L.","svarc l","Ladislav Svarc","103281"
"Sweeting R.","sweeting r","Ryan Sweeting","104976"
"Syed F.","syed f","Fazaluddin Syed","102467"
"Szymanski J.","szymanski j","Jimy Szymanski","102655"
"Tabara M.","tabara m","Michal Tabara","103420"
"Tahiri M.","tahiri m","Mehdi Tahiri","103029"
"Taino E.","taino e","Eric Taino","102558"
"Takeuchi K.","takeuchi k","Kento Takeuchi","105059"
"Tarallo S.","tarallo s","Stefano Tarallo","102738"
"Tarango J.","tarango j","Jeff Tarango","101543"
"Tavares L.","tavares l","Leonardo Tavares","104311"
"Tearney F.","tearney f","Finn Tearney","110686"
"Tebbutt M.","tebbutt m","Michael Tebbutt","101833"
"Tecau H.","tecau h","Horia Tecau","104486"
"Teixeira M.","teixeira m","Maxime Teixeira","105270"
"Tenconi T.","tenconi t","Tomas Tenconi","103626"
"Terachi T.","terachi t","Takahiro Terachi","103403"
"Thiem D.","thiem d","Dominic Thiem","106233"
"Thomann N.","thomann n","Nicolas Thomann","102143"
"Thomas J.","thomas j","Jim Thomas","102458"
"Thompson C.","thompson c","Clay Thompson","110636"
"Thompson J.","thompson j","Jordan Thompson","111442"
"Thron A.","thron a","Aljoscha Thron","104951"
"Tiafoe F.","tiafoe f","Francis Tiafoe","126207"
"Tieleman L.","tieleman l","Laurence Tieleman","102133"
"Tiilikainen K.","tiilikainen k","Kim Tiilikainen","102617"
"Tillstrom M.","tillstrom m","Mikael Tillstrom","102025"
"Timfjord N.","timfjord n","Nicklas Timfjord","102961"
"Tipsarevic J.","tipsarevic j","Janko Tipsarevic","104386"
"Tipsarevic J. ","tipsarevic j","Janko Tipsarevic","104386"
"Tkalec M.","tkalec m","Marko Tkalec","102959"
"Tobon M.","tobon m","Miguel Tobon","101495"
"Todero N.","todero n","Nicolas Todero","103358"
"Tomashevich D.","tomashevich d","Dmitri Tomashevich","102347"
"Tomic B.","tomic b","Bernard Tomic","106071"
"Tong M.","tong m","Melvin Tong","102537"
"Topic J.","topic j","Josko Topic","104275"
"Torebko P.","torebko p","Peter Torebko","105091"
"Tramacchi P.","tramacchi p","Peter Tramacchi","101821"
"Travaglia S.","travaglia s","Stefano Travaglia","105882"
"Traykov I.","traykov i","Ivaylo Traykov","103296"
"Trevisan M.","trevisan m","Matteo Trevisan","105401"
"Trifu G.","trifu g","Gabriel Trifu","102574"
"Trimmel C.","trimmel c","Clemens Trimmel","103216"
"Trinker B.","trinker b","Bastian Trinker","105542"
"Troicki V.","troicki v","Viktor Troicki","104678"
"Troicki V. ","troicki v","Viktor Troicki","104678"
"Trongcharoenchaikul W.","trongcharoenchaikul w","Wishaya Trongcharoenchaikul","106397"
"Trujillo G.","trujillo g","Gabriel Trujillo Soler","103448"
"Trungelliti M.","trungelliti m","Marco Trungelliti","105477"
"Trusendi W.","trusendi w","Walter Trusendi","104473"
"Tsonga J.W.","tsonga j w","Jo Wilfried Tsonga","104542"
"Tsonga J.W. ","tsonga j w","Jo Wilfried Tsonga","104542"
"Tuksar S.","tuksar s","Sasa Tuksar","104182"
"Tursunov D.","tursunov d","Dmitry Tursunov","104098"
"Tveit E.","tveit e","Erling Tveit","104469"
"Uchiyama Y.","uchiyama y","Yasutaka Uchiyama","106034"
"Udomchoke D.","udomchoke d","Danai Udomchoke","103821"
"Uebel L.","uebel l","Lars Uebel","103646"
"Ulihrach B.","ulihrach b","Bohdan Ulihrach","102539"
"Ullyett K.","ullyett k","Kevin Ullyett","102061"
"Ungur A.","ungur a","Adrian Ungur","104494"
"Uppal V.","uppal v","Vishal Uppal","102885"
"Urban F.","urban f","Filip Urban","103963"
"Vacek D.","vacek d","Daniel Vacek","101888"
"Vacek J.","vacek j","Jan Vacek","102788"
"Vagnozzi S.","vagnozzi s","Simone Vagnozzi","104195"
"Vahaly B.","vahaly b","Brian Vahaly","103408"
"Vaisse M.","vaisse m","Martin Vaisse","104993"
"Vajda I.","vajda i","Ivan Vajda","103256"
"Valent R.","valent r","Roman Valent","104211"
"Van D. Merwe I.","van d merwe i","Izak Van Der Merwe","104292"
"Van der Dium A.","van der dium a","Antal Van Der Duim","105014"
"van der Meer N.","van der meer n","Nick Van Der Meer","104485"
"Van der Merwe I.","van der merwe i","Izak Van Der Merwe","104292"
"Van Der Merwe I.","van der merwe i","Izak Van Der Merwe","104292"
"van Gemerden M.","van gemerden m","Melle Van Gemerden","103369"
"van Lottum J.","van lottum j","John Van Lottum","102770"
"Van Lottum J.","van lottum j","John Van Lottum","102770"
"Van Rijthoven T.","van rijthoven t","Tim Van Rijthoven","126646"
"van Scheppingen D.","van scheppingen d","Dennis Van Scheppingen","102615"
"Vanek J.","vanek j","Jiri Vanek","103181"
"Vanni L.","vanni l","Luca Vanni","104563"
"Vardhan V.","vardhan v","Vishnu Vardhan","104986"
"Varlet J.","varlet j","Julien Varlet","103047"
"Vasek R.","vasek r","Radomir Vasek","102118"
"Vasilevski A.","vasilevski a","Andrei Vasilevski","105781"
"Vassallo-Arguello M.","vassallo arguello m","Martin Vassallo Arguello","103506"
"Vassallo-Arguello M. ","vassallo arguello m","Martin Vassallo Arguello","103506"
"Vega Hernandez D.","vega hernandez d","David Vega Hernandez","110754"
"Veger F.","veger f","Filip Veger","106374"
"Veic A.","veic a","Antonio Veic","105099"
"Velotti A.","velotti a","Agustin Velotti","106006"
"Vemic D.","vemic d","Dusan Vemic","102811"
"Ventura S.","ventura s","Santiago Ventura","103490"
"Venus M.","venus m","Michael Venus","105030"
"Verdasco F.","verdasco f","Fernando Verdasco","104269"
"Verdasco F. ","verdasco f","Fernando Verdasco","104269"
"Verkerk M.","verkerk m","Martin Verkerk","103280"
"Veronelli D.","veronelli d","Diego Veronelli","103478"
"Vesely J.","vesely j","Jiri Vesely","106210"
"Vicente F.","vicente f","Fernando Vicente","102950"
"Vico U.","vico u","Uros Vico","103716"
"Vik R.","vik r","Robin Vik","103503"
"Viloca J.A.","viloca j a","Juan Albert Viloca Puig","102167"
"Vinciguerra A.","vinciguerra a","Andreas Vinciguerra","103714"
"Vinck C.","vinck c","Christian Vinck","102652"
"Viola M.","viola m","Matteo Viola","104970"
"Viola Mat.","viola mat","Matteo Viola","104970"
"Vlasov D.","vlasov d","Dmitry Vlasov","104034"
"Vliegen K.","vliegen k","Kristof Vliegen","104019"
"Voinea A.","voinea a","Adrian Voinea","102437"
"Volandri F.","volandri f","Filippo Volandri","103835"
"Voltchkov V.","voltchkov v","Vladimir Voltchkov","103166"
"Vovk S.","vovk s","Stanislav Vovk","105720"
"Wachiramanowong K.","wachiramanowong k","Kittipong Wachiramanowong","105579"
"Wagh A.","wagh a","Akash Wagh","105501"
"Walter L.","walter l","Ludovic Walter","104106"
"Wang C.","wang c","Chuhan Wang","105934"
"Wang J.","wang j","Jimmy Wang","104499"
"Wang Y.","wang y","Yu Jr Wang","103817"
"Wang Y. Jr","wang y jr","Yu Jr Wang","103817"
"Wang Y.Jr.","wang y jr","Yu Jr Wang","103817"
"Warburg S.","warburg s","Sam Warburg","104173"
"Ward A.","ward a","Alexander Ward","105528"
"Ward J.","ward j","James Ward","104868"
"Washington M.","washington m","Mashiska Washington","102497"
"Waske A.","waske a","Alexander Waske","102565"
"Wassen R.","wassen r","Rogier Wassen","102836"
"Wawrinka S.","wawrinka s","Stanislas Wawrinka","104527"
"Wawrinka S. ","wawrinka s","Stanislas Wawrinka","104527"
"Weiner G.","weiner g","Glenn Weiner","102785"
"Weintraub A.","weintraub a","Amir Weintraub","104804"
"Weinzierl J.","weinzierl j","Jan Weinzierl","102207"
"Wessels L.","wessels l","Louis Wessels","144923"
"Wessels P.","wessels p","Peter Wessels","103193"
"Westerhof B.","westerhof b","Boy Westerhof","104627"
"Wheaton D.","wheaton d","David Wheaton","101609"
"Whitehouse W.","whitehouse w","Wesley Whitehouse","103339"
"Whittington A.","whittington a","Andrew Whittington","106225"
"Widom T.","widom t","Todd Widom","104167"
"Willems R.","willems r","Reginald Willems","103045"
"Williams R.","williams r","Rhyne Williams","105733"
"Willis M.","willis m","Marcus Willis","105650"
"Willman D.","willman d","Daniel Willman","102557"
"Wilson B.","wilson b","Brian Wilson","104001"
"Wiltschnig H.","wiltschnig h","Herbert Wiltschnig","102687"
"Witt A.","witt a","Alex Witt","102755"
"Witten J.","witten j","Jesse Witten","104070"
"Wolmarans F.","wolmarans f","Fritz Wolmarans","104695"
"Woodbridge T.","woodbridge t","Todd Woodbridge","101889"
"Woodforde M.","woodforde m","Mark Woodforde","101185"
"Woodruff C.","woodruff c","Chris Woodruff","102162"
"Wu D.","wu d","Di Wu","105842"
"Xu J.C.","xu j c","Jun Chao Xu","105220"
"Yang T.H.","yang t h","Tsung Hua Yang","105738"
"Yani M.","yani m","Michael Yani","103676"
"Yim R.","yim r","Robert Yim","104508"
"Ymer E.","ymer e","Elias Ymer","111200"
"Ymer M.","ymer m","Mikael Ymer","144707"
"Yoo D.","yoo d","Daniel Yoo","104612"
"Yoon Y.","yoon y","Yong Il Yoon","102263"
"Young D.","young d","Donald Young","105385"
"Youzhny M.","youzhny m","Mikhail Youzhny","104022"
"Youzhny M. ","youzhny m","Mikhail Youzhny","104022"
"Yu X.Y.","yu x y","Xin Yuan Yu","104501"
"Zabaleta M.","zabaleta m","Mariano Zabaleta","103151"
"Zampieri C.","zampieri c","Caio Zampieri","104738"
"Zayed M. S.","zayed m s","Mousa Shanan Zayed","110476"
"Zayed M.S.","zayed m s","Mousa Shanan Zayed","110476"
"Zeballos H.","zeballos h","Horacio Zeballos","104547"
"Zeballos H. ","zeballos h","Horacio Zeballos","104547"
"Zemlja G.","zemlja g","Grega Zemlja","104813"
"Zeng S.X.","zeng s x","Shao Xuan Zeng","103830"
"Zhang Y.","zhang y","Yu Zhang","102772"
"Zhang Z.","zhang z","Ze Zhang","105585"
"Zhang Ze","zhang ze","Ze Zhang","105585"
"Zhang Zh.","zhang zh","Zhizhen Zhang","111190"
"Zhu B.Q.","zhu b q","Ben Qiang Zhu","103337"
"Ziadi M.","ziadi m","Mehdi Ziadi","104807"
"Zib T.","zib t","Tomas Zib","102720"
"Zimonjic N.","zimonjic n","Nenad Zimonjic","102800"
"Zitko R.","zitko r","Radim Zitko","103290"
"Zlatanovic A.","zlatanovic a","Arsenije Zlatanovic","105440"
"Zopp J.","zopp j","Jurgen Zopp","105132"
"Zovko L.","zovko l","Lovro Zovko","103735"
"Zverev A.","zverev a","Alexander Zverev","100644"
"Zverev M.","zverev m","Mischa Zverev","104999"
