"ï..ATP","Location","Tournament","Date","Series","Court","Surface","Round","Best.of","Winner","Loser","WRank","LRank","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Wsets","Lsets","Comment","CBW","CBL","GBW","GBL","IWW","IWL","SBW","SBL","B365W","B365L","B.WW","B.WL","EXW","EXL","PSW","PSL"
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","1st Round","3","Sa A.","Ilie A.","84","39","4","6","6","3","7","6","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","1st Round","3","Sanguinetti D.","Lee M.","104","289","6","7","6","4","6","2","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","1st Round","3","Santoro F.","Goldstein P.","27","74","7","6","6","1","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","1st Round","3","Wheaton D.","Vinciguerra A.","436","40","6","3","6","2","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","2nd Round","3","Agassi A.","Dupuis A.","1","105","6","1","5","7","6","3","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","2nd Round","3","Bryan B.","Henman T.","202","14","7","6","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","2nd Round","3","Gimelstob J.","Santoro F.","102","27","4","6","6","4","6","0","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","2nd Round","3","Hewitt L.","Wheaton D.","11","436","6","4","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","2nd Round","3","Ivanisevic G.","Philippoussis M.","63","17","6","3","6","3","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","2nd Round","3","Kucera K.","Enqvist T.","36","7","3","6","7","6","6","3","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","2nd Round","3","Llodra M.","Sa A.","169","84","6","1","3","0","","","","","","","1","0","Retired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","2nd Round","3","Mirnyi M.","Martin T.","60","22","6","3","6","7","6","3","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","2nd Round","3","Nestor D.","Hill M.","163","226","6","4","6","3","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","2nd Round","3","Pavel A.","Black B.","26","64","7","6","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","2nd Round","3","Pioline C.","Gambill J.M.","6","62","5","7","6","2","6","3","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","2nd Round","3","Pozzi G.","Agenor R.","76","97","6","3","4","6","6","0","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","2nd Round","3","Rusedski G.","Knippschild J.","20","114","7","6","7","6","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","2nd Round","3","Safin M.","Boutter J.","8","92","7","5","5","7","6","3","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","2nd Round","3","Sampras P.","Parmar A.","4","157","6","7","6","4","6","3","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","2nd Round","3","Sanguinetti D.","Grosjean S.","104","33","7","6","1","6","7","6","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","3rd Round","3","Bryan B.","Mirnyi M.","202","60","6","4","1","6","6","2","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","3rd Round","3","Hewitt L.","Ivanisevic G.","11","63","6","4","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","3rd Round","3","Pavel A.","Kucera K.","26","36","7","6","3","6","7","5","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","3rd Round","3","Pioline C.","Gimelstob J.","6","102","6","4","7","5","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","3rd Round","3","Pozzi G.","Agassi A.","76","1","4","6","3","2","","","","","","","0","1","Retired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","3rd Round","3","Safin M.","Rusedski G.","8","20","6","7","7","6","6","4","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","3rd Round","3","Sampras P.","Llodra M.","4","169","6","1","7","6","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","3rd Round","3","Sanguinetti D.","Nestor D.","104","163","6","3","4","6","7","5","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","Quarterfinals","3","Hewitt L.","Pioline C.","11","6","6","4","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","Quarterfinals","3","Pozzi G.","Safin M.","76","8","7","5","7","6","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
