"Players","Ratings","games","Hard_Ratings","Hard_games","Grass_Ratings","Grass_games","Clay_Ratings","Clay_games","Carpet_Ratings","Carpet_games","Nationality","Handed"
"Fahlke A.",1489.54250677386,1,1500,0,1500,0,1489.40377987741,1,1500,0,"GER","R"
"Witt A.",1488.21359653988,1,1500,0,1489.7,1,1500,0,1500,0,"GBR","R"
"Landsberg J.",1490.15150104667,1,1500,0,1489.7,1,1500,0,1500,0,"SWE","R"
"Boruszewski J.",1488.8331034865,1,1500,0,1489.39473785795,1,1500,0,1500,0,"GER","R"
"Gaudi I.",1490.85894494885,1,1500,0,1489.7,1,1500,0,1500,0,"ITA","R"
"Bhupathi M.",1466.1866759904,3,1477.8743336663,2,1489.39473785795,1,1500,0,1500,0,"IND","R"
"MacLagan M.",1477.24009847913,2,1487.81516021583,1,1489.68242894375,1,1500,0,1500,0,"GBR",""
"Timfjord N.",1488.23294591266,1,1500,0,1500,0,1488.88367687507,1,1500,0,"SWE","R"
"Fleischfresser T.",1488.3181869912,1,1500,0,1500,0,1488.92030511664,1,1500,0,"GER","U"
"Arnold L.",1488.45069851126,1,1500,0,1500,0,1489.16916418118,1,1500,0,"ARG","U"
"Thomas J.",1478.23891867343,2,1487.90474080332,1,1490.29300376165,1,1500,0,1500,0,"GBR","U"
"Tiilikainen K.",1482.12224420332,2,1500,0,1500,0,1479.4388984334,2,1500,0,"FIN","R"
"Filippini M.",1480.56542766787,2,1500,0,1500,0,1481.22256456917,2,1500,0,"URU","R"
"Miketa D.",1491.22098031642,1,1500,0,1500,0,1490.59372433941,1,1500,0,"CZE","R"
"Peschek D.",1490.25112399829,1,1500,0,1500,0,1489.4979574906,1,1500,0,"GER","R"
"Vajda I.",1481.61349796038,2,1500,0,1500,0,1481.67140395166,2,1500,0,"CRO","R"
"Moretti H.",1490.44412136052,1,1500,0,1500,0,1490.38913035944,1,1500,0,"ARG","R"
"Trimmel C.",1482.58794381206,2,1500,0,1500,0,1482.3052825948,2,1500,0,"AUT","R"
"Vasek R.",1489.69819454371,1,1500,0,1500,0,1489.60283716159,1,1500,0,"CZE","R"
"Fasching A.",1489.56417266682,1,1500,0,1500,0,1489.75989549071,1,1500,0,"AUT","U"
"Cabello F.",1488.38253482059,1,1500,0,1500,0,1489.32113152198,1,1500,0,"ARG","R"
"Cobolli S.",1490.88841215419,1,1500,0,1500,0,1491.64186611775,1,1500,0,"ITA","R"
"Malcor O.",1477.28997630886,2,1500,0,1500,0,1477.74260370243,2,1500,0,"FRA","R"
"Tramacchi P.",1489.52840431478,1,1489.18458788734,1,1500,0,1500,0,1500,0,"AUS","R"
"Mor L.",1489.54534162348,1,1489.7847969607,1,1500,0,1500,0,1500,0,"BRA","R"
"Caldwell D.",1489.35870055077,1,1489.7,1,1500,0,1500,0,1500,0,"USA","R"
"Harsanyi P.",1479.59488263646,2,1478.39942916349,2,1500,0,1500,0,1500,0,"USA","U"
"Kauffmann C.",1483.23183360274,2,1488.45182925403,1,1500,0,1488.7632784761,1,1500,0,"FRA","R"
"Herm-Zahlava J.",1477.54837483486,2,1500,0,1500,0,1478.36473807847,2,1500,0,"GER","R"
"Tong M.",1490.32169637936,1,1488.92795053927,1,1500,0,1500,0,1500,0,"HKG","R"
"Onoda M.",1458.56649702106,4,1459.68638589971,4,1500,0,1500,0,1500,0,"JPN","R"
"Miyao J.",1479.87846699788,2,1481.60175992299,2,1500,0,1500,0,1500,0,"JPN","U"
"Mlynarik Z.",1492.0298604784,1,1490.6714586934,1,1500,0,1500,0,1500,0,"AUT","R"
"Zhang Y.",1489.43076288422,1,1489.14309362701,1,1500,0,1500,0,1500,0,"CHN","U"
"Kornienko I.",1495.62698247042,1,1494.02201146853,1,1500,0,1500,0,1500,0,"RUS","R"
"Freelove O.",1490.68733482335,1,1489.40906020305,1,1500,0,1500,0,1500,0,"GBR","R"
"Milligan L.",1487.01379171752,2,1489.37626692459,1,1489.39473785795,1,1500,0,1500,0,"GBR","R"
"Sarstrand M.",1485.43040751454,2,1490.24865090623,1,1500,0,1494.92079552984,1,1500,0,"SWE","R"
"Smith L.",1491.81990074708,1,1491.39904752228,1,1500,0,1500,0,1500,0,"USA","U"
"Syed F.",1487.50626841218,1,1488.73476044263,1,1500,0,1500,0,1500,0,"MAS","U"
"Breen M.",1488.57836594532,1,1488.69116967322,1,1500,0,1500,0,1500,0,"AUS","R"
"Perry T.",1490.08732963654,1,1489.78037583974,1,1500,0,1500,0,1500,0,"AUS","R"
"Svarc L.",1481.10246197958,2,1490.32750277666,1,1500,0,1490.95794302886,1,1500,0,"SVK","R"
"Moyano D.",1478.91425470337,2,1500,0,1500,0,1479.23624293777,2,1500,0,"ARG","R"
"Koll H.",1487.73919596054,1,1488.39295960509,1,1500,0,1500,0,1500,0,"NOR","R"
