"playername","id","Ratings","games","games_won","Hard_Ratings","Hard_games","Hard_games_won","Grass_Ratings","Grass_games","Grass_games_won","Clay_Ratings","Clay_games","Clay_games_won","Carpet_Ratings","Carpet_games","Carpet_games_won","NotHard_Ratings","NotHard_games","NotHard_games_won","Bo3_Ratings","Bo3_games","Bo3_games_won","Bo5_Ratings","Bo5_games","Bo5_games_won"
"kuznetsov al",628,1431.72508409068,21,5,1458.48289638703,12,3,1450.88532153303,6,1,1484.69380061357,3,1,1500,0,0,1449.00556774239,9,2,1441.27564329835,18,5,1466.01315119627,3,0
"kuznetsov an",629,1678.67318961592,121,54,1614.38814859945,56,27,1492.74215811644,15,6,1540.17947877717,50,21,1500,0,0,1577.84321500217,65,27,1588.49187983426,90,37,1618.76908056499,31,17
"kyrgios n",630,1854.41781378154,113,71,1773.67902305406,68,43,1592.35477600438,15,10,1652.11672446949,30,18,1500,0,0,1722.98016674382,45,28,1809.55649620161,74,46,1676.67567938728,39,25
"laaksonen h",631,1450.47482938874,20,5,1461.72727477391,7,1,1500,0,0,1467.90649148149,13,4,1500,0,0,1468.63465026934,13,4,1444.58327984852,20,5,1500,0,0
"labadze i",632,1493.76457316947,117,40,1443.55141356323,49,15,1480.73211077969,14,5,1458.46902567423,50,19,1475.99253898295,4,1,1487.16527187295,68,25,1440.80104519074,97,33,1478.43003770831,20,7
"lacko l",633,1496.53195731289,165,61,1468.82099213713,118,47,1475.24806234488,30,12,1429.68793655092,16,2,1490.04573106368,1,0,1465.72705317563,47,14,1497.19758495551,126,50,1451.24366913034,39,11
"lajola d",634,1487.5,1,0,1487.5,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1487.5,1,0,1500,0,0
"lajovic d",635,1597.93379200781,122,51,1516.98205783941,48,17,1457.14694799962,7,1,1580.6404042833,67,33,1500,0,0,1563.87975256051,74,34,1595.53734085572,103,43,1497.73738983594,19,8
"lama g",636,1486.44035946571,1,0,1500,0,0,1500,0,0,1488.4345209459,1,0,1500,0,0,1487.84283484604,1,0,1487.13791858021,1,0,1500,0,0
"lamasine t",637,1488.17441505296,4,1,1500,0,0,1490.78572189696,1,0,1492.57287224314,3,1,1500,0,0,1486.33974425401,4,1,1491.32832155749,3,1,1492.91422585246,1,0
"lammer m",638,1479.52007343188,22,6,1507.8318058211,13,5,1500,0,0,1445.36538084564,8,1,1489.70018752045,1,0,1439.04862610053,9,1,1469.9496230041,19,5,1497.89888288051,3,1
"landsberg j",639,1488.19303627943,1,0,1500,0,0,1487.5,1,0,1500,0,0,1500,0,0,1488.41516063142,1,0,1488.3218158495,1,0,1500,0,0
"langer n",640,1498.55945978174,3,1,1488.96495828995,1,0,1500,0,0,1505.79536323254,2,1,1500,0,0,1506.35488145101,2,1,1498.2810329859,3,1,1500,0,0
"lapentti g",641,1416.29008285503,29,7,1466.20625817339,17,6,1484.9465443008,3,1,1432.2072402356,9,0,1500,0,0,1421.06962365641,12,1,1430.66868519169,26,7,1467.94976256889,3,0
"lapentti n",642,1503.67688043394,367,180,1500.69665210506,141,68,1482.94778435153,18,8,1525.46956607039,182,93,1469.478634957,26,11,1489.18316506603,226,112,1540.83348225117,305,149,1466.67054783618,62,31
"lareau s",643,1444.88876066737,26,9,1460.69626764664,19,7,1488.86716952564,5,2,1474.13046844236,2,0,1500,0,0,1465.92021879094,7,2,1456.47814375101,22,8,1477.95562030269,4,1
"larkham t",644,1476.7921432929,7,1,1500.2586271378,4,1,1489.11088974371,1,0,1478.3080718331,2,0,1500,0,0,1470.79849576472,3,0,1492.89867021695,1,0,1472.75217354298,6,1
"larose s",645,1519.3779739294,12,5,1505.76718571512,12,5,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1518.27393609772,12,5,1500,0,0
"larsson m",646,1536.54157842794,57,31,1558.55754941959,35,21,1499.34093574909,12,6,1487.84909293593,10,4,1500,0,0,1485.01776427558,22,10,1541.41151773727,48,27,1499.08013608293,9,4
"lazov a",647,1490.83877278054,1,0,1488.70930457978,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1490.69111970129,1,0,1500,0,0
"ledovskikh m",648,1441.36017057843,17,4,1478.43914609358,8,2,1460.45166249912,5,1,1486.23919952208,1,0,1487.10708008399,3,1,1449.83271802511,9,2,1441.2981333362,17,4,1500,0,0
"lee h t",649,1556.93188589739,265,118,1558.40779261646,181,80,1505.39004347497,36,17,1508.63603458356,46,21,1475.44952970932,2,0,1531.18083867495,84,38,1552.6575039186,214,96,1509.92344062561,51,22
"lee m",650,1415.07929094054,46,15,1421.84884094178,16,3,1482.80585242359,25,11,1465.71954970954,5,1,1500,0,0,1456.94919590647,30,12,1430.53308994682,35,12,1455.17113641457,11,3
"lejnieks k",651,1506.90244903953,2,1,1500,0,0,1500,0,0,1500,0,0,1499.61165120918,2,1,1506.99168718302,2,1,1506.08024018887,2,1,1500,0,0
"lemke j",652,1492.90316928867,1,0,1485.26678976019,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1493.01955565208,1,0,1500,0,0
"lestienne c",653,1486.55841035301,1,0,1500,0,0,1500,0,0,1486.60775659429,1,0,1500,0,0,1486.79383054223,1,0,1486.28212318316,1,0,1500,0,0
"levine i",654,1474.71266660372,2,0,1487.04783345211,1,0,1487.5,1,0,1500,0,0,1500,0,0,1487.26066603329,1,0,1473.90205176013,2,0,1500,0,0
"levine j",655,1489.95421596802,93,30,1460.97077828802,63,19,1475.57444647827,23,10,1449.44764521127,7,1,1500,0,0,1457.77805955988,30,11,1454.4599510507,70,21,1490.13069950992,23,9
"levinsky j",656,1484.43809331697,1,0,1500,0,0,1500,0,0,1483.27612978989,1,0,1500,0,0,1484.70319518403,1,0,1484.0101867819,1,0,1500,0,0
"levy h",657,1350.6999937525,119,39,1373.58636972075,68,23,1461.37772523438,16,6,1423.14327140374,30,9,1463.96146627465,5,1,1395.93159109474,51,16,1368.02080118612,102,35,1415.94823423806,17,4
"li z",658,1463.6763978986,5,0,1460.37050642826,5,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1462.13151348394,5,0,1500,0,0
"lindahl n",659,1451.67711356904,9,1,1454.07929391006,8,1,1500,0,0,1488.84417852554,1,0,1500,0,0,1489.64429551724,1,0,1460.3919980924,7,1,1483.56784137315,2,0
"lindell c",660,1450.35806261422,10,2,1486.28271727368,1,0,1500,0,0,1460.45152656003,9,2,1500,0,0,1459.09886539701,9,2,1454.71555417838,9,2,1497.05243734664,1,0
"linzer m",661,1478.93453345996,2,0,1500,0,0,1500,0,0,1477.548375522,2,0,1500,0,0,1478.89490693223,2,0,1478.0706601551,2,0,1500,0,0
"lipsky s",662,1485.09475279479,1,0,1500,0,0,1487.81232360059,1,0,1500,0,0,1500,0,0,1487.32073510276,1,0,1485.37191264542,1,0,1500,0,0
"lisnard j",663,1414.96047411363,117,40,1426.68844748089,58,21,1468.32163590239,5,1,1415.81194700011,52,17,1500.09251999585,2,1,1414.80227363374,59,19,1412.06690454606,90,31,1453.89346500847,27,9
"liukko v",664,1498.92974983855,4,2,1498.92974983855,4,2,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1497.84869771671,4,2,1500,0,0
"ljubicic i",665,1671.3858870181,647,386,1635.81630374282,373,229,1532.89938877015,50,24,1686.81109836221,155,88,1629.77130099326,69,45,1678.33475132322,274,157,1662.8651083387,548,337,1587.330734278,99,49
"llodra m",666,1624.89916734712,395,182,1608.14381980109,238,108,1607.8509060924,73,44,1493.72349077115,57,20,1451.95259621612,27,10,1596.84589449714,157,74,1642.50996662832,310,148,1502.94361357885,85,34
"logtens p",667,1485.53567134728,2,0,1500,0,0,1476.67850052586,2,0,1500,0,0,1500,0,0,1478.51834487989,2,0,1484.61613182211,2,0,1500,0,0
"lojda d",668,1492.35139592231,1,0,1489.58888444614,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1489.18201133663,1,0
"lokoli l",669,1457.046740401,4,0,1464.71101190775,3,0,1500,0,0,1486.91809611539,1,0,1500,0,0,1486.53243187875,1,0,1478.45600492834,2,0,1472.50711432688,2,0
"londero j i",670,1477.82535673618,2,0,1500,0,0,1500,0,0,1475.19027667661,2,0,1500,0,0,1477.21936788779,2,0,1478.39169079106,2,0,1500,0,0
"lopes h",671,1491.14892487191,1,0,1500,0,0,1500,0,0,1490.60385596838,1,0,1500,0,0,1490.22367531396,1,0,1490.53346296094,1,0,1500,0,0
"lopez f",672,1709.22524845179,785,414,1692.52128011516,440,229,1658.15546759942,96,61,1627.4211231468,219,110,1510.02812254153,30,14,1657.30384732972,345,185,1676.8244384148,636,326,1684.76222165873,149,88
"lopez jaen m a",673,1507.52131662733,3,1,1500,0,0,1500,0,0,1504.25583244541,3,1,1500,0,0,1503.43407389228,3,1,1494.47649556841,1,0,1508.59661962137,2,1
"lopez m",674,1473.02073214467,52,21,1497.70831538688,3,1,1493.30646161167,3,1,1477.26368000068,46,19,1500,0,0,1463.50786482068,49,20,1488.76551319596,47,20,1468.63372698441,5,1
"lopez moron a",675,1413.8669942683,10,1,1475,2,0,1500,0,0,1435.60435189135,8,1,1500,0,0,1435.31211785025,8,1,1425.36861662883,9,1,1487.5,1,0
"lopez perez e",676,1493.85274533436,1,0,1500,0,0,1500,0,0,1492.61122395272,1,0,1500,0,0,1491.83877429262,1,0,1494.33085221855,1,0,1500,0,0
"lorenzi p",677,1598.53886604053,183,67,1520.05846736135,73,24,1401.26953402459,17,3,1568.2469068525,93,40,1500,0,0,1524.17684448679,110,43,1588.35347913207,157,63,1404.36022288418,26,4
"lu h",678,1504.72260864371,2,1,1503.83593764602,2,1,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1504.38908684437,2,1,1500,0,0
"lu y",679,1454.49153066517,4,0,1453.46552585274,4,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1452.75529753629,4,0,1500,0,0
"lu y h",680,1643.4402722063,324,133,1595.07187484663,242,101,1553.86048160562,59,27,1446.79390542887,22,5,1488.78130638276,1,0,1548.41791574284,82,32,1648.17735752651,260,111,1464.54259664196,64,22
"luczak a",681,1519.06502149248,1,1,1500,0,0,1500,0,0,1519.69966957411,1,1,1500,0,0,1518.39931011154,1,1,1519.09765708322,1,1,1500,0,0
"luczak p",682,1434.74467038196,115,35,1439.48202543423,54,16,1515.72091564878,8,4,1401.32536927059,53,15,1500,0,0,1425.51480139382,61,19,1436.6126183564,92,29,1431.05980314126,23,6
"lukaev r",683,1486.18206238166,1,0,1484.84218403415,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1486.33099399538,1,0
"luncanu p a",684,1482.01158508867,2,0,1490.41823637648,1,0,1500,0,0,1487.1450743739,1,0,1500,0,0,1487.56644147184,1,0,1481.05101898511,2,0,1500,0,0
"luque d",685,1487.5,1,0,1500,0,0,1500,0,0,1487.5,1,0,1500,0,0,1487.5,1,0,1487.5,1,0,1500,0,0
"luxa p",686,1427.31777656855,7,0,1446.38722306261,5,0,1478.98143414785,2,0,1500,0,0,1500,0,0,1477.55071107627,2,0,1434.55079150155,6,0,1488.34801518559,1,0
"luzzi f",687,1455.51860578079,44,16,1466.9097093757,11,3,1500,0,0,1477.34707925975,31,13,1474.41653974177,2,0,1454.34793717488,33,13,1474.97870445604,38,15,1462.19960314965,6,1
"maamoun k",688,1489.26217788843,1,0,1487.56258284047,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1488.77425538785,1,0,1500,0,0
"machado r",689,1401.34895536311,50,13,1430.58975679347,11,1,1487.44960714854,1,0,1426.67634177573,38,12,1500,0,0,1420.15697933166,39,12,1422.37971246897,38,11,1429.55426404902,12,2
"mackin a",690,1407.53608156268,11,0,1487.26533368739,1,0,1431.28175500871,6,0,1482.49380322189,2,0,1475.19810409317,2,0,1408.80187780749,10,0,1438.14148580867,6,0,1449.09660289904,5,0
"maclagan m",691,1472.10234338906,2,0,1484.87972146162,1,0,1487.46879591686,1,0,1500,0,0,1500,0,0,1487.38290027092,1,0,1484.692863964,1,0,1487.5,1,0
"macphie b",692,1502.45802055879,2,1,1502.45802055879,2,1,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1502.23343674415,2,1,1500,0,0
"maden y",693,1495.4540962866,1,0,1494.77217599079,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1495.06325687,1,0,1500,0,0
"mahut n",694,1669.38710128682,349,156,1549.45975691786,186,75,1708.44179477346,98,63,1460.70057169692,47,14,1419.14782250713,18,4,1690.57159741481,163,81,1623.52006927442,279,130,1539.30438266921,70,26
"malcor o",695,1471.8901652205,2,0,1500,0,0,1500,0,0,1472.61798124181,2,0,1500,0,0,1471.85202032814,2,0,1473.05157347433,2,0,1500,0,0
"malisse x",696,1565.60187734075,516,266,1523.08652636626,313,157,1662.42586702393,79,50,1461.09737439839,91,40,1541.54714557092,33,19,1606.52404449635,203,109,1566.3058652831,415,211,1537.63649708793,101,55
"mamiit c",697,1393.8015618162,95,30,1414.3732328307,74,25,1437.46129366069,12,3,1449.42886148186,9,2,1500,0,0,1399.67518028326,21,5,1401.57721508698,81,27,1431.14134634444,14,3
"mankad h",698,1461.06585566257,3,0,1473.38645222835,2,0,1487.78472145478,1,0,1500,0,0,1500,0,0,1485.64632933532,1,0,1461.97442614197,3,0,1500,0,0
"mannarino a",699,1602.10262525586,239,103,1552.39978578044,149,63,1579.99285982546,47,26,1485.32760549634,42,14,1487.04704667514,1,0,1596.20738741113,90,40,1588.52861621244,194,85,1521.11810778757,45,18
"manta l",700,1421.99434766173,16,4,1481.0822383559,10,4,1462.08219715363,3,0,1464.97533958843,3,0,1500,0,0,1427.80362730433,6,0,1431.78489200857,15,4,1487.5,1,0
"mantilla f",701,1555.7097686071,239,123,1509.02910119121,73,33,1463.01734052681,7,2,1600.30208323763,151,86,1450.94421859033,8,2,1563.6203320252,166,90,1561.96069237518,207,111,1469.89848179039,32,12
"marach o",702,1448.44640502813,45,16,1467.73751160652,11,3,1486.96731614586,1,0,1475.4384057423,30,12,1486.46277636986,3,1,1460.41643348577,34,13,1472.97828371247,40,16,1442.0868951794,5,0
"marcaccio g",703,1497.11693486376,5,2,1487.47022610561,1,0,1500,0,0,1510.28218395231,4,2,1500,0,0,1507.92047769816,4,2,1496.94721192709,5,2,1500,0,0
"marcan d",704,1484.64506123682,2,0,1481.11891762803,2,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1484.10018956058,2,0,1500,0,0
"march o",705,1486.00709435789,1,0,1486.24195555849,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1486.42237552633,1,0
"marchenko i",706,1526.09350998196,112,45,1542.00366133996,80,36,1453.10459682223,17,6,1432.47297559213,15,3,1500,0,0,1418.33909133947,32,9,1493.16802470358,89,37,1482.45225538994,23,8
"marin j a",707,1379.12582932803,83,27,1424.31543230155,9,1,1486.61761473855,1,0,1396.15746170775,73,26,1500,0,0,1384.15447888438,74,26,1394.12949430712,76,27,1425.85499653053,7,0
"marin l",708,1490.62463317365,1,0,1500,0,0,1500,0,0,1490.58867241758,1,0,1500,0,0,1490.09219799952,1,0,1490.9181954343,1,0,1500,0,0
"marques n",709,1488.96081715722,1,0,1500,0,0,1500,0,0,1487.5,1,0,1500,0,0,1487.5,1,0,1488.28924682315,1,0,1500,0,0
"marrai m",710,1488.10747508079,1,0,1500,0,0,1500,0,0,1490.72244483411,1,0,1500,0,0,1489.7549835662,1,0,1488.07389261845,1,0,1500,0,0
"marray j",711,1474.91188662808,12,4,1489.89451169566,1,0,1475.1826406322,11,4,1500,0,0,1500,0,0,1481.79246669653,11,4,1500.66710650237,9,4,1471.77907884307,3,0
"marrero d",712,1466.80671069262,9,3,1500,0,0,1500,0,0,1469.13994764639,9,3,1500,0,0,1467.25742073389,9,3,1461.25868987801,7,2,1506.01966891941,2,1
"martelli m",713,1490.55042498278,5,2,1502.36625032467,2,1,1500,0,0,1488.68187583629,3,1,1500,0,0,1487.89384986485,3,1,1489.52087567006,5,2,1500,0,0
"marterer m",714,1470.33571613905,4,0,1477.84227195501,2,0,1486.83944688317,1,0,1494.12469395899,1,0,1500,0,0,1482.68806989176,2,0,1468.93615400771,4,0,1500,0,0
"marti j",715,1451.50792690962,13,2,1493.29108991456,2,0,1497.10869008068,2,1,1444.14119467164,9,1,1500,0,0,1446.13809308587,11,2,1458.54033388308,12,2,1487.5,1,0
"marti y",716,1477.25177427944,7,2,1500,0,0,1500,0,0,1477.19115454719,7,2,1500,0,0,1474.86202520168,7,2,1475.4843082616,7,2,1500,0,0
"martin a",717,1557.12754824728,415,187,1376.6512247814,138,50,1421.2286048826,18,4,1595.61177967872,253,132,1454.21611350591,6,1,1584.08619705831,277,137,1544.11681227392,361,167,1446.54758882716,54,20
"martin d",718,1494.34644549258,1,0,1491.74689572227,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1492.76243943241,1,0,1500,0,0
"martin f",719,1476.39480413952,2,0,1485.45185633867,1,0,1487.7199070511,1,0,1500,0,0,1500,0,0,1487.54578976665,1,0,1476.66369912644,2,0,1500,0,0
"martin t",720,1582.27010552249,138,76,1578.475711002,88,51,1565.58756701624,22,14,1481.00581993259,28,11,1500,0,0,1548.52181198743,50,25,1566.56462572429,91,48,1588.34134767894,47,28
"massa e",721,1467.67959584897,24,8,1493.33252890453,5,2,1487.0274228142,1,0,1471.76002986041,18,6,1500,0,0,1460.56840543013,19,6,1479.10579456248,22,8,1476.6438927794,2,0
"massu n",722,1458.13471978308,431,217,1495.30693802604,153,65,1452.15040289703,17,6,1481.98713448359,244,139,1477.15059726155,17,7,1455.02808099001,278,152,1484.99015679451,371,194,1438.58552902162,60,23
"mathieu p",723,1569.77990951023,554,269,1502.8946900537,244,112,1501.03556120114,53,22,1589.57769331465,208,107,1537.92489401124,49,28,1589.95352037398,310,157,1572.47284999517,460,224,1522.4194877338,94,45
"matias n",724,1489.4098286599,1,0,1500,0,0,1500,0,0,1490.323602143,1,0,1500,0,0,1490.06380654932,1,0,1489.53860672649,1,0,1500,0,0
"matkowski m",725,1477.79859279154,2,0,1500,0,0,1500,0,0,1480.98191027638,2,0,1500,0,0,1478.5785991878,2,0,1477.55804268454,2,0,1500,0,0
"matos gil i",726,1488.62232337375,2,0,1500,0,0,1500,0,0,1485.0625476364,2,0,1500,0,0,1485.98418243369,2,0,1486.26157909164,2,0,1500,0,0
"matosevic m",727,1519.07646448382,154,61,1551.344763308,109,46,1482.36960091139,19,7,1463.03993751544,26,8,1500,0,0,1480.82417582643,45,15,1525.74711180765,133,58,1430.72009963015,21,3
"matsui t",728,1513.94798627519,4,2,1509.83030232487,4,2,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1513.55506606561,4,2,1500,0,0
"matsukevitch d",729,1487.77095793116,4,1,1500,0,0,1500,0,0,1489.39092027025,1,0,1495.3320424704,3,1,1485.28233517153,4,1,1486.98412990933,4,1,1500,0,0
"mayer f",730,1663.08958318645,429,214,1610.33785045814,211,98,1656.8173187236,52,33,1546.83762463749,158,80,1479.84496230551,8,3,1657.59373294525,218,116,1679.79963952905,354,178,1524.61224012303,75,36
"mayer l",731,1592.06822389436,250,116,1531.82590633487,107,43,1510.87007722942,28,13,1600.83370605853,115,60,1500,0,0,1598.3738165182,143,73,1586.68302625591,196,90,1570.87003567771,54,26
"mazarakis v",732,1467.41913355632,5,0,1486.3169324723,2,0,1500,0,0,1476.58384816275,3,0,1500,0,0,1476.20188924354,3,0,1466.84423587263,5,0,1500,0,0
"mcclune m",733,1500.38926254809,3,1,1497.69412622131,3,1,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1503.84611669789,2,1,1488.62481331532,1,0
"mcdonald m",734,1452.29468904705,4,0,1464.47070580677,3,0,1488.99857504757,1,0,1500,0,0,1500,0,0,1487.87301353375,1,0,1462.74953242548,3,0,1487.5,1,0
"mcgee j",735,1467.27654449069,3,0,1467.73707697068,3,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1478.96824943242,2,0,1487.16363744255,1,0
"mecir m",736,1488.8134700525,4,1,1493.64115417876,3,1,1500,0,0,1486.570530236,1,0,1500,0,0,1487.19778248129,1,0,1499.85522098556,3,1,1486.73079776418,1,0
"medvedev a",737,1497.3414598746,61,29,1470.19560059969,18,6,1475.9970540356,4,1,1528.23632006494,37,21,1499.56774126876,2,1,1502.69231859205,43,23,1514.27598318588,51,25,1477.03395081526,10,4
"medvedev d",738,1523.07609135115,10,5,1522.09081550783,5,3,1499.97797733897,2,1,1489.32395458826,3,1,1500,0,0,1488.82199893197,5,2,1521.8336236263,10,5,1500,0,0
"meffert d",739,1495.16362995454,13,5,1491.59964401298,7,3,1493.89184365837,3,1,1497.04219077829,3,1,1500,0,0,1495.02115065663,6,2,1498.09858113225,12,5,1488.89128790241,1,0
"meister n",740,1492.59469817831,1,0,1488.28008638879,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1491.43426794787,1,0,1500,0,0
"mektic n",741,1469.42273156045,8,2,1477.77611337392,2,0,1500,0,0,1495.59746897793,5,2,1486.49437981599,1,0,1486.08753499593,6,2,1469.85278850769,8,2,1500,0,0
"meligeni f",742,1535.12718994909,124,56,1517.59461038458,42,19,1474.22995317832,4,1,1523.51232969984,75,36,1472.23939750009,3,0,1501.25212547683,82,37,1530.04693216931,105,49,1469.08232887777,19,7
"mello r",743,1445.60653267812,137,51,1439.66072882645,77,30,1432.42403854761,9,1,1476.11061565961,49,20,1474.31805202059,2,0,1441.6036813953,60,21,1440.34307039153,113,44,1433.67887118637,24,7
"melo d",744,1475.65586577892,5,1,1484.51722534577,1,0,1500,0,0,1487.65845588033,4,1,1500,0,0,1486.24676168401,4,1,1476.2052576153,5,1,1500,0,0
"melzer g",745,1467.87076811581,22,6,1453.92735328644,5,0,1500,0,0,1494.37919461922,17,6,1500,0,0,1490.61977694013,17,6,1474.96418138081,21,6,1485.16157024414,1,0
"melzer j",746,1609.5047957812,623,323,1573.33544651567,320,161,1581.29711868235,70,38,1578.7277297643,220,119,1459.39099331902,13,5,1593.65198099415,303,162,1595.26331779504,513,264,1595.02336461297,110,59
"menendez maceiras a",747,1451.87760924451,8,1,1468.70241078075,3,0,1472.05829567511,2,0,1486.31744708588,3,1,1500,0,0,1462.74934209612,5,1,1462.68453999982,6,1,1473.08211870828,2,0
"mergea f",748,1502.6277057541,4,2,1500,0,0,1500.04196309118,2,1,1500.62979156311,2,1,1500,0,0,1500.74468866752,4,2,1500.82290706227,4,2,1500,0,0
"mertens y",749,1486.14022895596,3,1,1487.04989861207,3,1,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1484.85729351014,3,1,1500,0,0
"mertinak m",750,1445.59518914436,15,4,1500,0,0,1481.57916574244,6,2,1468.69603487169,8,2,1486.2202527014,1,0,1442.56140094389,15,4,1450.76765140899,14,4,1488.30428867075,1,0
"mertl j",751,1505.60339883961,2,1,1500,0,0,1500,0,0,1502.25786856717,2,1,1500,0,0,1503.2259053637,2,1,1503.94335842013,2,1,1500,0,0
"mesaros k",752,1491.53300106824,1,0,1488.61658848424,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1490.71454597636,1,0,1500,0,0
"michon a",753,1506.66205942058,2,1,1500,0,0,1500,0,0,1503.59095993769,2,1,1500,0,0,1504.09623484316,2,1,1500,0,0,1503.31680299633,2,1
"middelkoop m",754,1489.78720510181,1,0,1500,0,0,1486.78578056303,1,0,1500,0,0,1500,0,0,1489.79576339596,1,0,1489.14090154065,1,0,1500,0,0
"miedler l",755,1490.28256605008,1,0,1490.13659160868,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1491.08212600829,1,0,1500,0,0
"miketa d",756,1489.64686241562,1,0,1500,0,0,1500,0,0,1488.8067291179,1,0,1500,0,0,1488.5882366818,1,0,1488.77722167567,1,0,1500,0,0
"milligan l",757,1485.79114608456,2,0,1487.03429066708,1,0,1487.05047029068,1,0,1500,0,0,1500,0,0,1495.57373468296,1,0,1487.95340749584,1,0,1491.4141729359,1,0
"millman j",758,1605.84173951436,61,25,1538.91481141198,49,20,1528.03366553392,9,5,1467.76085052438,3,0,1500,0,0,1527.94415035045,12,5,1577.20048932408,48,20,1507.69188770276,13,5
"millot v",759,1467.15691109959,21,5,1471.31012359185,17,5,1486.52275257458,1,0,1466.74727678053,3,0,1500,0,0,1454.66038375394,4,0,1467.80251228101,16,4,1476.98784996137,5,1
"milojevic n",760,1505.42404176161,2,1,1500,0,0,1500,0,0,1501.2531227255,2,1,1500,0,0,1503.16394552852,2,1,1505.17155530826,2,1,1500,0,0
"mina g",761,1486.92563772354,5,1,1500,0,0,1500,0,0,1477.46542598306,5,1,1500,0,0,1479.67708352326,5,1,1485.4622174492,4,1,1498.26344678851,1,0
"minar i",762,1481.91013944307,96,33,1531.63001735712,42,18,1442.40127107816,13,3,1447.95748259142,39,12,1475.88878381323,2,0,1413.32321263928,54,15,1475.56844106837,80,29,1450.05085708242,16,4
"minar j",763,1486.57079401136,3,0,1483.05384050681,3,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1490.02707373832,2,0,1485.88314738839,1,0
"miranda i",764,1466.52528248292,19,7,1458.88949398452,9,2,1510.16310149021,3,2,1492.62754790103,7,3,1500,0,0,1498.93977852174,10,5,1483.59357948967,16,7,1470.35334101464,3,0
"mirnegg m",765,1491.77193236833,1,0,1500,0,0,1500,0,0,1488.93568746979,1,0,1500,0,0,1490.06937629923,1,0,1490.89336392337,1,0,1500,0,0
"mirnyi m",766,1533.63441338938,402,201,1511.7917088912,220,116,1583.60854890716,51,28,1460.64712706857,82,32,1521.96710046882,49,25,1538.68277497704,182,85,1518.60599117047,339,171,1528.72911404687,63,30
"mitchell b",767,1455.21807087344,5,0,1453.02158053196,5,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1469.24741274563,3,0,1479.66229593618,2,0
"miyao j",768,1475.47928046289,2,0,1478.01701483408,2,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1476.31141786307,2,0,1500,0,0
"mlynarik z",769,1490.55429202359,1,0,1488.8597992495,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1490.3673674463,1,0,1500,0,0
"mmoh m",770,1472.9976987156,3,0,1470.05713250813,3,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1481.44416553365,2,0,1493.12864523662,1,0
"moeller m",771,1490.33375236395,1,0,1500,0,0,1500,0,0,1488.02866613732,1,0,1500,0,0,1489.15056101691,1,0,1488.97116480875,1,0,1500,0,0
"moldovan i",772,1455.8837385419,6,1,1500,0,0,1500,0,0,1458.42980683877,6,1,1500,0,0,1456.42750955872,6,1,1455.16567144668,6,1,1500,0,0
"molteni a",773,1485.77639798388,2,0,1500,0,0,1500,0,0,1485.2060588995,2,0,1500,0,0,1485.18063707233,2,0,1485.6709837753,2,0,1500,0,0
"monaco j",774,1713.21456046193,575,324,1640.91913036892,198,95,1485.27597521129,16,6,1701.51073304298,352,220,1472.40903445168,9,3,1696.00014388305,377,229,1726.9244782261,500,293,1501.97561170022,75,31
"monfils g",775,1872.10352854221,587,374,1825.38671250702,359,232,1592.48456428396,49,29,1775.73266016169,167,106,1527.69402017891,12,7,1760.59362815307,228,142,1838.19424477391,467,291,1761.11561744894,120,83
"montanes a",776,1560.88877603639,540,254,1417.984957372,120,37,1454.41350058954,19,6,1586.09336494605,396,211,1449.14204809213,5,0,1568.46279978455,420,217,1596.52712739975,457,224,1425.85975513653,83,30
"montcourt m",777,1502.73701107132,15,5,1471.24907712872,4,0,1500,0,0,1510.53326534399,11,5,1500,0,0,1512.28371643153,11,5,1482.75501223261,8,2,1506.29222248122,7,3
