"playername","id","Ratings","games","games_won","Hard_Ratings","Hard_games","Hard_games_won","Grass_Ratings","Grass_games","Grass_games_won","Clay_Ratings","Clay_games","Clay_games_won","Carpet_Ratings","Carpet_games","Carpet_games_won","NotHard_Ratings","NotHard_games","NotHard_games_won","Bo3_Ratings","Bo3_games","Bo3_games_won","Bo5_Ratings","Bo5_games","Bo5_games_won"
"belic l",89,1470.80152472389,3,0,1500,0,0,1500,0,0,1466.39855000597,3,0,1500,0,0,1468.45986606276,3,0,1467.46497500783,3,0,1500,0,0
"bellier a",90,1489.07331837495,1,0,1500,0,0,1500,0,0,1489.03256784695,1,0,1500,0,0,1489.02843837948,1,0,1489.07114456571,1,0,1500,0,0
"bellucci t",91,1623.89349621835,337,163,1563.93167491915,143,57,1483.82811281631,15,6,1609.13826020271,179,100,1500,0,0,1597.41054159532,194,106,1621.19140492727,284,141,1495.89172741249,53,22
"belyaev i",92,1491.26475157696,1,0,1489.27099778992,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1490.43636668082,1,0,1500,0,0
"bemelmans r",93,1511.4152591317,41,13,1514.27212591467,24,9,1444.1694504273,13,3,1477.61579982869,4,1,1500,0,0,1452.61356457678,17,4,1499.77207526555,30,10,1468.74654438759,11,3
"benneteau a",94,1487.3367635368,1,0,1488.05114545852,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1487.20665701196,1,0
"benneteau j",95,1618.96392511513,515,248,1595.13062947995,319,158,1522.67293467688,64,30,1511.73937548017,104,45,1548.35472365159,28,15,1530.13993779934,196,90,1638.986668804,424,206,1538.30898513002,91,42
"berankis r",96,1530.47261897911,132,57,1573.5672489505,99,50,1413.10707964592,13,2,1425.1638729615,20,5,1500,0,0,1381.02780254682,33,7,1530.27503824734,106,47,1484.15694451069,26,10
"berasategui a",97,1402.5313219263,19,4,1451.22763354439,6,1,1488.33419129852,1,0,1440.80407711489,12,3,1500,0,0,1433.31949961214,13,3,1425.31812714848,16,4,1463.38290646128,3,0
"berdych t",98,1889.65385707578,812,532,1845.40919321465,518,339,1718.87515260569,82,58,1840.30636926418,191,121,1574.96247292419,21,14,1852.09660297097,294,193,1829.87743527103,629,401,1873.25614658745,183,131
"berlocq c",99,1597.3579210105,269,112,1489.3950337915,76,24,1427.53330484992,19,5,1630.2960388021,173,83,1489.97028686432,1,0,1619.73963885694,193,88,1610.78888382025,230,103,1393.27368084183,39,9
"berrer m",100,1476.84058138546,231,87,1491.61007113598,149,60,1435.62637062962,24,7,1443.79426035375,50,16,1506.76691137341,8,4,1446.23159873979,82,27,1475.62952138203,198,78,1418.73388616247,33,9
"berta d",101,1471.65449619068,2,0,1500,0,0,1486.51855935876,1,0,1486.20095025391,1,0,1500,0,0,1469.02374609178,2,0,1472.02973435529,2,0,1500,0,0
"bester p",102,1463.75597070861,5,0,1462.98576569349,5,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1463.0594945565,5,0,1500,0,0
"betov s",103,1485.52918975667,1,0,1484.78422522591,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1485.91661292859,1,0,1500,0,0
"bhambri y",104,1485.25552648398,14,4,1471.1653021401,14,4,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1485.50887207516,12,4,1495.36643378131,2,0
"bhupathi m",105,1458.55477795925,3,0,1472.90963439048,2,0,1487.05047029068,1,0,1500,0,0,1500,0,0,1485.81696665046,1,0,1473.23782680919,2,0,1487.03431883644,1,0
