"Players","Ratings","games","Hard_Ratings","Hard_games","Grass_Ratings","Grass_games","Clay_Ratings","Clay_games","Carpet_Ratings","Carpet_games","Nationality","Handed","CountryCode","Continent"
"Baccanello P.",1466.76045889461,9,1466.26271768213,7,1499.41968316851,2,1500,0,1500,0,"AUS","R",16,7
"Niemeyer F.",1464.62642353753,20,1448.00069315054,17,1490.8115446013,3,1500,0,1500,0,"CAN","R",39,6
"Moodie W.",1545.14974863728,103,1534.35077788991,77,1493.65594148099,21,1470.78552144592,5,1500,0,"RSA","R",4,2
"Rehnquist B.",1463.35202920075,13,1447.84139760814,7,1500,0,1505.68005350306,6,1500,0,"SWE","R",181,5
"Vemic D.",1489.93651163435,21,1480.50377098249,5,1500.97992796713,6,1507.20682892311,10,1500,0,"SRB","R",194,5
"Guccione C.",1495.8546103389,85,1521.0040107128,64,1454.33615106621,15,1462.24402202405,6,1500,0,"AUS","L",16,7
"Hernandez O.",1427.71895759998,186,1357.22243662171,33,1431.27228092007,10,1494.39854140165,143,1500,0,"ESP","U",64,5
"Wawrinka S.",1819.89494049615,371,1773.72115057538,191,1477.88171313008,23,1750.42190984431,157,1500,0,"SUI","R",198,5
"Ram R.",1472.26836983168,77,1423.67999709628,58,1526.13522575958,17,1482.25095950889,2,1500,0,"ESP","U",64,5
"Delic A.",1485.91462323937,75,1495.78268669613,60,1474.72370682491,8,1465.05912295584,7,1500,0,"BIH","R",28,5
"Amritraj P.",1461.85603294367,31,1405.69702804955,20,1530.1359013548,11,1500,0,1500,0,"IND","R",101,4
"Bogomolov Jr. A.",1479.54948536993,9,1475.2967062743,9,1500,0,1500,0,1500,0,"RUS","R",180,5
"Tipsarevic J.",1795.2721770457,356,1736.43338925766,225,1586.15039891317,55,1657.85117615191,76,1500,0,"SRB","R",194,5
"Mergea F.",1501.73316514665,4,1500,0,1500.02200759947,2,1500.23595187417,2,1500,0,"ROU","R",178,5
"Tuksar S.",1461.44947401734,7,1488.48712064387,1,1500,0,1471.33062130447,6,1500,0,"CRO","R",97,5
"Youzhny A.",1514.92461723775,5,1506.12005487459,5,1500,0,1500,0,1500,0,"RUS","R",180,5
"Berdych T.",1940.49332996171,505,1876.39983449799,318,1662.32117652448,54,1756.1290667813,133,1500,0,"CZE","R",58,5
"Andreev I.",1541.93676751932,402,1524.68476209349,171,1508.23005799778,32,1542.6063836709,199,1500,0,"MKD","R",136,5
"Moldovan I.",1462.52051311436,6,1500,0,1500,0,1464.40075394027,6,1500,0,"ROU","R",178,5
"Ascione T.",1387.40839587621,65,1428.65237772851,32,1464.68747081252,4,1436.89535290959,29,1500,0,"FRA","R",70,5
"Bogomolov A.",1539.09056390216,133,1554.22533344486,102,1489.64349590723,22,1438.53177838535,9,1500,0,"RUS","R",180,5
"Veronelli D.",1492.99129979004,5,1491.59185939273,1,1500,0,1501.40849634769,4,1500,0,"ARG","R",11,8
"Tenconi T.",1490.12038684641,3,1500,0,1500,0,1488.5931545495,3,1500,0,"ITA","R",99,5
"Almagro N.",1824.79049995027,452,1683.18533332164,144,1497.01545287389,19,1832.68605176135,289,1500,0,"ESP","R",64,5
"Ascione A.",1499.47410164753,2,1500.76864495673,2,1500,0,1500,0,1500,0,"ITA","U",99,5
"Petzschner P.",1583.43593623233,174,1522.93207092029,101,1566.39374792921,36,1504.83656358791,37,1500,0,"GER","R",59,5
"Iwami T.",1475.39221666277,4,1475.92883365619,4,1500,0,1500,0,1500,0,"JPN","L",108,4
"Iwabuchi S.",1444.14290658349,13,1443.5197143099,13,1500,0,1500,0,1500,0,"JPN","L",108,4
"Muller G.",1648.6203291679,183,1633.04244358741,125,1463.38739283667,30,1522.54202417231,28,1500,0,"ESP","U",64,5
"Hemmes F.",1487.34290638955,4,1502.88799626282,2,1491.38544489568,1,1489.39889188175,1,1500,0,"NED","R",96,5
"Kucera V.",1511.46995520977,2,1509.20487464314,2,1500,0,1500,0,1500,0,"CZE","R",58,5
"Patience O.",1422.7251970961,78,1429.28021869609,18,1498.43911872336,6,1441.27385334186,54,1500,0,"FRA","R",70,5
"Mayer F.",1648.90932291472,323,1605.58876810903,162,1606.22420824767,36,1592.94433919359,125,1500,0,"GER","R",59,5
"Hippensteel K.",1486.61248439395,4,1480.19847454798,4,1500,0,1500,0,1500,0,"USA","L",222,6
"Ramirez-Hidalgo R.",1398.60377778453,172,1423.08436844239,34,1431.19563033622,8,1424.81687531064,130,1500,0,"ESP","R",64,5
"Monaco J.",1780.1643618277,412,1682.70025846004,151,1474.57596844363,7,1754.87629024332,254,1500,0,"ITA","R",99,5
"Baker B.",1516.12306502844,40,1439.22617831223,26,1523.3774816934,6,1541.63706895578,8,1500,0,"USA","R",222,6
"Cakl T.",1458.14571688534,9,1454.87282518508,7,1500,0,1499.49969769426,2,1500,0,"CZE","R",58,5
"Hernych J.",1538.86040756495,159,1511.221413915,94,1491.09030256654,26,1460.75696113322,39,1500,0,"CZE","R",58,5
"Rocha D.",1498.38559058917,3,1500,0,1500,0,1497.22969054803,3,1500,0,"ARG","U",11,8
"Robert S.",1467.22212080956,41,1484.1503393492,20,1492.13578892318,3,1460.55759071473,18,1500,0,"NZL","U",162,7
"Devilder N.",1450.94917185891,68,1444.75075276984,19,1484.21355866847,6,1469.3795606943,43,1500,0,"FRA","L",70,5
