Formula for K is C * b ^ games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimum found at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,0.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,0.581032277,0.580849353,0.580675287,0.580511265,0.580358387,0.580217644,0.580089897,0.57997586,0.579876089,0.579790982,0.579720777,0.579665568,0.579625322,0.579599895,0.579589067,0.57959256,0.579610075,0.579641314,0.579686001,0.579743907,0.579814855,,,,,,,,,,,,,,,,,
,54,0.580977347,0.58080074,0.580633278,0.58047612,0.580330335,0.580196874,0.580076554,0.579970043,0.579877849,0.579800323,0.579737661,0.579689919,0.579657031,0.579638832,0.579635088,0.579645516,0.579669822,0.579707717,0.579758948,0.579823306,0.579900642,,,,,,,,,,,,,,,,,
,55,0.580929229,0.580758847,0.580597885,0.580447474,0.580308649,0.580182322,0.580069267,0.579970104,0.579885295,0.579815148,0.579759816,0.579719322,0.579693571,0.579682379,0.5796855,0.57970265,0.579733541,0.5797779,0.579835491,0.579906131,0.579989697,,,,,,,,,,,,,,,,,
,56,0.580887513,0.580723266,0.580568701,0.580424921,0.580292926,0.580173587,0.580067636,0.579975647,0.579898038,0.579835073,0.579786868,0.579753412,0.579734586,0.57973019,0.579739969,0.57976364,0.579800924,0.579851563,0.579915344,0.579992106,0.580081756,,,,,,,,,,,,,,,,,
,57,0.580851816,0.580693615,0.580545345,0.580408082,0.580282788,0.580170295,0.580071292,0.579986308,0.579915719,0.579859746,0.579818471,0.579791852,0.57977975,0.579781948,0.579798188,0.57982819,0.579871686,0.579928435,0.579998244,0.580080982,0.580176578,,,,,,,,,,,,,,,,,
,58,0.580821782,0.580669538,0.580527464,0.580396604,0.580277885,0.5801721,0.580079892,0.580001749,0.579938004,0.57988884,0.579854305,0.579834331,0.579828758,0.57983736,0.579859874,0.579896029,0.579945565,0.580008263,0.580083952,0.580172526,0.580273941,,,,,,,,,,,,,,,,,
,59,0.580797078,0.580650705,0.580514729,0.580390161,0.580277893,0.580178678,0.580093116,0.580021654,0.579964583,0.579922051,0.579894074,0.57988056,0.579881332,0.579896155,0.579924768,0.579966904,0.580022321,0.580090818,0.580172247,0.580266527,0.580373641,,,,,,,,,,,,,,,,,
,60,0.580777394,0.580636807,0.580506831,0.580388447,0.580282509,0.580189729,0.580110668,0.580045731,0.57999517,0.579959099,0.579937504,0.579930273,0.579937213,0.579958085,0.579992628,0.580040587,0.580101734,0.580175887,0.580262925,0.58036279,0.580475493,,,,,,,,,,,,,,,,,
,61,0.580762442,0.580627556,0.580503485,0.580391177,0.580291449,0.580204975,0.580132273,0.580073709,0.580029499,0.579999722,0.579984342,0.579983223,0.579996163,0.580022919,0.580063235,0.580116865,0.580183599,0.580263277,0.5803558,0.580461138,0.580579326,,,,,,,,,,,,,,,,,
,62,0.580751951,0.580622682,0.580504422,0.580398085,0.580304451,0.580224154,0.580157672,0.580105334,0.58006732,0.58004368,0.580034351,0.580039182,0.580057962,0.580090446,0.580136383,0.580195542,0.580267729,0.580352807,0.580450701,0.580561407,0.580684982,,,,,,,,,,,,,,,,,
,63,0.580745667,0.580621935,0.580509394,0.580408924,0.580321269,0.580247023,0.580186627,0.580140372,0.580108404,0.580090746,0.580087312,0.580097938,0.580122404,0.580160467,0.580211884,0.580276437,0.580353952,0.580444312,0.58054747,0.580663444,0.580792316,,,,,,,,,,,,,,,,,
,64,0.580743356,0.580625079,0.580518165,0.58042346,0.580341672,0.580273355,0.580218914,0.580178602,0.580152537,0.580140712,0.580143024,0.580159295,0.580189302,0.580232803,0.580289564,0.580359384,0.580442107,0.580537642,0.580645962,0.580767111,0.580901196,,,,,,,,,,,,,,,,,
,65,0.580744794,0.580631893,0.580530517,0.580441478,0.580365446,0.580302939,0.580254324,0.580219821,0.580199518,0.580193384,0.580201297,0.580223071,0.580258479,0.580307283,0.580369262,0.580444228,0.580532049,0.580632654,0.580746042,0.58087228,0.581011498,,,,,,,,,,,,,,,,,
